#    x        Cp  
   1.00000  0.43301
   0.99372  0.25723
   0.98277  0.18638
   0.96999  0.12979
   0.95567  0.08362
   0.94026  0.04462
   0.92422  0.00861
   0.90784 -0.02314
   0.89128 -0.05233
   0.87462 -0.08023
   0.85793 -0.10571
   0.84120 -0.13057
   0.82446 -0.15451
   0.80771 -0.17770
   0.79095 -0.20036
   0.77419 -0.22270
   0.75742 -0.24458
   0.74066 -0.26670
   0.72389 -0.28838
   0.70712 -0.31014
   0.69035 -0.33239
   0.67359 -0.35448
   0.65683 -0.37668
   0.64008 -0.39958
   0.62333 -0.42287
   0.60659 -0.44588
   0.58987 -0.47006
   0.57315 -0.49443
   0.55645 -0.51953
   0.53976 -0.54516
   0.52309 -0.57154
   0.50644 -0.59876
   0.48980 -0.62700
   0.47319 -0.65544
   0.45660 -0.68568
   0.44004 -0.71630
   0.42351 -0.74858
   0.40701 -0.78160
   0.39055 -0.81659
   0.37412 -0.85248
   0.35774 -0.89006
   0.34140 -0.92969
   0.32511 -0.97094
   0.30888 -1.01451
   0.29272 -1.06036
   0.27662 -1.10882
   0.26060 -1.16041
   0.24467 -1.21515
   0.22884 -1.27375
   0.21313 -1.33654
   0.19755 -1.40509
   0.18214 -1.47880
   0.16693 -1.55977
   0.15196 -1.64872
   0.13730 -1.74731
   0.12303 -1.85717
   0.10929 -1.97978
   0.09622 -2.11668
   0.08399 -2.26965
   0.07278 -2.43844
   0.06271 -2.62313
   0.05380 -2.82166
   0.04603 -3.03467
   0.03929 -3.25914
   0.03346 -3.49829
   0.02840 -3.74760
   0.02399 -4.01133
   0.02013 -4.28591
   0.01674 -4.57497
   0.01376 -4.87209
   0.01114 -5.17829
   0.00883 -5.47841
   0.00682 -5.76828
   0.00508 -6.01877
   0.00360 -6.19823
   0.00238 -6.27400
   0.00141 -6.18916
   0.00070 -5.91734
   0.00025 -5.45417
   0.00003 -4.83388
   0.00003 -4.14137
   0.00025 -3.37750
   0.00070 -2.58199
   0.00141 -1.80750
   0.00238 -1.11965
   0.00360 -0.54285
   0.00508 -0.08423
   0.00682  0.26620
   0.00883  0.52530
   0.01114  0.71099
   0.01376  0.84011
   0.01674  0.92367
   0.02013  0.97345
   0.02399  0.99643
   0.02840  0.99874
   0.03346  0.98473
   0.03929  0.95802
   0.04603  0.92119
   0.05380  0.87688
   0.06271  0.82750
   0.07278  0.77499
   0.08399  0.72221
   0.09622  0.67056
   0.10929  0.62165
   0.12303  0.57636
   0.13730  0.53464
   0.15196  0.49688
   0.16693  0.46279
   0.18214  0.43184
   0.19755  0.40406
   0.21313  0.37885
   0.22884  0.35617
   0.24467  0.33558
   0.26060  0.31689
   0.27662  0.30002
   0.29272  0.28469
   0.30888  0.27076
   0.32511  0.25800
   0.34140  0.24657
   0.35774  0.23607
   0.37412  0.22638
   0.39055  0.21768
   0.40701  0.20979
   0.42351  0.20233
   0.44004  0.19584
   0.45660  0.18981
   0.47319  0.18409
   0.48980  0.17903
   0.50644  0.17452
   0.52309  0.17009
   0.53976  0.16659
   0.55645  0.16287
   0.57315  0.15963
   0.58987  0.15696
   0.60659  0.15425
   0.62333  0.15220
   0.64008  0.14998
   0.65683  0.14827
   0.67359  0.14691
   0.69035  0.14535
   0.70712  0.14481
   0.72389  0.14394
   0.74066  0.14366
   0.75742  0.14361
   0.77419  0.14383
   0.79095  0.14458
   0.80771  0.14626
   0.82446  0.14701
   0.84120  0.15040
   0.85793  0.15283
   0.87462  0.15687
   0.89128  0.16244
   0.90784  0.16838
   0.92422  0.17727
   0.94026  0.18836
   0.95567  0.20284
   0.96999  0.22293
   0.98277  0.25320
   0.99372  0.29685
   1.00000  0.43301
