#    x        Cp  
   1.00000  0.43617
   0.99384  0.26248
   0.98305  0.18935
   0.97039  0.13070
   0.95615  0.08318
   0.94082  0.04183
   0.92486  0.00437
   0.90856 -0.02959
   0.89209 -0.06096
   0.87554 -0.09011
   0.85895 -0.11778
   0.84232 -0.14450
   0.82569 -0.17046
   0.80904 -0.19512
   0.79238 -0.22015
   0.77572 -0.24419
   0.75905 -0.26833
   0.74238 -0.29234
   0.72571 -0.31632
   0.70904 -0.34028
   0.69237 -0.36495
   0.67570 -0.38937
   0.65904 -0.41418
   0.64237 -0.43966
   0.62572 -0.46532
   0.60907 -0.49176
   0.59243 -0.51877
   0.57580 -0.54656
   0.55918 -0.57478
   0.54258 -0.60410
   0.52598 -0.63440
   0.50941 -0.66584
   0.49285 -0.69819
   0.47632 -0.73174
   0.45980 -0.76715
   0.44331 -0.80353
   0.42684 -0.84186
   0.41041 -0.88209
   0.39401 -0.92412
   0.37764 -0.96908
   0.36131 -1.01627
   0.34503 -1.06699
   0.32881 -1.12104
   0.31266 -1.17988
   0.29660 -1.24430
   0.28069 -1.31852
   0.26498 -1.40142
   0.24951 -1.49051
   0.23431 -1.58301
   0.21936 -1.67959
   0.20469 -1.77830
   0.19029 -1.87889
   0.17617 -1.98024
   0.16235 -2.08246
   0.14884 -2.18372
   0.13566 -2.28464
   0.12286 -2.38386
   0.11046 -2.48150
   0.09855 -2.57760
   0.08719 -2.67107
   0.07649 -2.76415
   0.06655 -2.85668
   0.05746 -2.94788
   0.04929 -3.04159
   0.04204 -3.13549
   0.03569 -3.23295
   0.03017 -3.33298
   0.02538 -3.43632
   0.02123 -3.54371
   0.01763 -3.65451
   0.01450 -3.76927
   0.01179 -3.88424
   0.00943 -4.00147
   0.00739 -4.11251
   0.00564 -4.21803
   0.00414 -4.30351
   0.00288 -4.36473
   0.00186 -4.37713
   0.00106 -4.32815
   0.00049 -4.18558
   0.00014 -3.94442
   0.00000 -3.58915
   0.00008 -3.15153
   0.00039 -2.58796
   0.00098 -1.92264
   0.00185 -1.22644
   0.00302 -0.58702
   0.00448 -0.06267
   0.00623  0.32869
   0.00824  0.60229
   0.01054  0.78350
   0.01313  0.89606
   0.01604  0.96085
   0.01932  0.99204
   0.02302  0.99997
   0.02724  0.99179
   0.03207  0.97244
   0.03767  0.94511
   0.04422  0.91232
   0.05194  0.87546
   0.06105  0.83650
   0.07173  0.79626
   0.08403  0.75630
   0.09781  0.71752
   0.11276  0.68087
   0.12853  0.64631
   0.14480  0.61373
   0.16135  0.58286
   0.17803  0.55351
   0.19474  0.52517
   0.21141  0.49777
   0.22801  0.47163
   0.24452  0.44601
   0.26092  0.42160
   0.27723  0.39882
   0.29346  0.37774
   0.30966  0.35993
   0.32588  0.34373
   0.34214  0.32924
   0.35845  0.31606
   0.37480  0.30346
   0.39118  0.29255
   0.40761  0.28204
   0.42408  0.27255
   0.44057  0.26365
   0.45710  0.25546
   0.47366  0.24806
   0.49024  0.24094
   0.50684  0.23426
   0.52347  0.22852
   0.54012  0.22262
   0.55678  0.21753
   0.57346  0.21259
   0.59016  0.20794
   0.60686  0.20400
   0.62358  0.19990
   0.64031  0.19649
   0.65704  0.19308
   0.67379  0.19004
   0.69054  0.18750
   0.70729  0.18491
   0.72404  0.18273
   0.74080  0.18134
   0.75756  0.17918
   0.77432  0.17851
   0.79107  0.17745
   0.80782  0.17753
   0.82456  0.17740
   0.84130  0.17843
   0.85802  0.17999
   0.87472  0.18213
   0.89137  0.18586
   0.90794  0.19067
   0.92435  0.19733
   0.94041  0.20704
   0.95584  0.21893
   0.97018  0.23789
   0.98293  0.26448
   0.99380  0.30766
   1.00000  0.43617
