#    x        Cp  
   1.00000  0.41458
   0.99384  0.25406
   0.98305  0.19197
   0.97039  0.14551
   0.95615  0.10976
   0.94082  0.07999
   0.92486  0.05445
   0.90856  0.03216
   0.89209  0.01201
   0.87554 -0.00578
   0.85895 -0.02237
   0.84232 -0.03787
   0.82569 -0.05276
   0.80904 -0.06627
   0.79238 -0.07982
   0.77572 -0.09266
   0.75905 -0.10508
   0.74238 -0.11728
   0.72571 -0.12942
   0.70904 -0.14111
   0.69237 -0.15307
   0.67570 -0.16461
   0.65904 -0.17633
   0.64237 -0.18796
   0.62572 -0.19973
   0.60907 -0.21136
   0.59243 -0.22349
   0.57580 -0.23534
   0.55918 -0.24760
   0.54258 -0.25975
   0.52598 -0.27239
   0.50941 -0.28509
   0.49285 -0.29811
   0.47632 -0.31121
   0.45980 -0.32482
   0.44331 -0.33870
   0.42684 -0.35285
   0.41041 -0.36756
   0.39401 -0.38239
   0.37764 -0.39824
   0.36131 -0.41429
   0.34503 -0.43153
   0.32881 -0.44911
   0.31266 -0.46852
   0.29660 -0.48938
   0.28069 -0.51453
   0.26498 -0.54277
   0.24951 -0.57174
   0.23431 -0.59974
   0.21936 -0.62638
   0.20469 -0.65027
   0.19029 -0.67075
   0.17617 -0.68669
   0.16235 -0.69744
   0.14884 -0.70178
   0.13566 -0.69906
   0.12286 -0.68830
   0.11046 -0.66889
   0.09855 -0.64038
   0.08719 -0.60167
   0.07649 -0.55414
   0.06655 -0.49789
   0.05746 -0.43284
   0.04929 -0.36237
   0.04204 -0.28606
   0.03569 -0.20666
   0.03017 -0.12423
   0.02538 -0.03965
   0.02123  0.04664
   0.01763  0.13497
   0.01450  0.22511
   0.01179  0.31792
   0.00943  0.41234
   0.00739  0.50948
   0.00564  0.60690
   0.00414  0.70434
   0.00288  0.79706
   0.00186  0.88160
   0.00106  0.94945
   0.00049  0.99173
   0.00014  0.99715
   0.00000  0.95709
   0.00008  0.86482
   0.00039  0.71066
   0.00098  0.50405
   0.00185  0.27191
   0.00302  0.05075
   0.00448 -0.13370
   0.00623 -0.27036
   0.00824 -0.36226
   0.01054 -0.41966
   0.01313 -0.44805
   0.01604 -0.45820
   0.01932 -0.45457
   0.02302 -0.44017
   0.02724 -0.41975
   0.03207 -0.39374
   0.03767 -0.36504
   0.04422 -0.33341
   0.05194 -0.30134
   0.06105 -0.26852
   0.07173 -0.23758
   0.08403 -0.20962
   0.09781 -0.18640
   0.11276 -0.16833
   0.12853 -0.15608
   0.14480 -0.14899
   0.16135 -0.14645
   0.17803 -0.14742
   0.19474 -0.15146
   0.21141 -0.15777
   0.22801 -0.16522
   0.24452 -0.17406
   0.26092 -0.18267
   0.27723 -0.19051
   0.29346 -0.19622
   0.30966 -0.19753
   0.32588 -0.19715
   0.34214 -0.19544
   0.35845 -0.19264
   0.37480 -0.18944
   0.39118 -0.18515
   0.40761 -0.18069
   0.42408 -0.17580
   0.44057 -0.17056
   0.45710 -0.16488
   0.47366 -0.15924
   0.49024 -0.15315
   0.50684 -0.14716
   0.52347 -0.14076
   0.54012 -0.13446
   0.55678 -0.12805
   0.57346 -0.12118
   0.59016 -0.11475
   0.60686 -0.10775
   0.62358 -0.10102
   0.64031 -0.09386
   0.65704 -0.08677
   0.67379 -0.07956
   0.69054 -0.07203
   0.70729 -0.06451
   0.72404 -0.05679
   0.74080 -0.04842
   0.75756 -0.04041
   0.77432 -0.03154
   0.79107 -0.02260
   0.80782 -0.01282
   0.82456 -0.00275
   0.84130  0.00799
   0.85802  0.02022
   0.87472  0.03261
   0.89137  0.04714
   0.90794  0.06308
   0.92435  0.08148
   0.94041  0.10324
   0.95584  0.12836
   0.97018  0.16051
   0.98293  0.20170
   0.99380  0.26019
   1.00000  0.41458
