#      x          Cp  
     1.00000    0.11694
     0.99168    0.10857
     0.98036    0.09637
     0.96726    0.08173
     0.95271    0.06499
     0.93719    0.04672
     0.92111    0.02749
     0.90473    0.00773
     0.88820   -0.01229
     0.87159   -0.03238
     0.85494   -0.05243
     0.83826   -0.07239
     0.82157   -0.09222
     0.80487   -0.11191
     0.78817   -0.13147
     0.77146   -0.15091
     0.75474   -0.17025
     0.73803   -0.18953
     0.72131   -0.20879
     0.70459   -0.22805
     0.68788   -0.24736
     0.67117   -0.26676
     0.65446   -0.28629
     0.63776   -0.30599
     0.62107   -0.32590
     0.60439   -0.34607
     0.58771   -0.36653
     0.57105   -0.38732
     0.55440   -0.40849
     0.53777   -0.43008
     0.52115   -0.45213
     0.50455   -0.47469
     0.48797   -0.49780
     0.47142   -0.52150
     0.45488   -0.54586
     0.43838   -0.57091
     0.42190   -0.59672
     0.40545   -0.62334
     0.38904   -0.65084
     0.37267   -0.67929
     0.35634   -0.70876
     0.34005   -0.73934
     0.32382   -0.77112
     0.30764   -0.80420
     0.29153   -0.83870
     0.27549   -0.87474
     0.25952   -0.91247
     0.24364   -0.95202
     0.22787   -0.99357
     0.21221   -1.03726
     0.19669   -1.08323
     0.18133   -1.13154
     0.16617   -1.18220
     0.15126   -1.23518
     0.13665   -1.28841
     0.12244   -1.34385
     0.10875   -1.41034
     0.09574   -1.54268
     0.08357   -1.89647
     0.07241   -2.33360
     0.06239   -2.37244
     0.05353   -2.40777
     0.04580   -2.44418
     0.03910   -2.48547
     0.03329   -2.53570
     0.02825   -2.59968
     0.02387   -2.68234
     0.02003   -2.78554
     0.01666   -2.90833
     0.01369   -3.04770
     0.01108   -3.19298
     0.00879   -3.33094
     0.00678   -3.44724
     0.00505   -3.52498
     0.00358   -3.54341
     0.00236   -3.47865
     0.00140   -3.30828
     0.00070   -3.02058
     0.00024   -2.62414
     0.00003   -2.15687
     0.00003   -1.66655
     0.00024   -1.15696
     0.00070   -0.65412
     0.00140   -0.19897
     0.00236    0.18123
     0.00358    0.47692
     0.00505    0.69155
     0.00678    0.83820
     0.00879    0.92973
     0.01108    0.98009
     0.01369    0.99905
     0.01666    0.99528
     0.02003    0.97455
     0.02387    0.94186
     0.02825    0.89972
     0.03329    0.85136
     0.03910    0.79787
     0.04580    0.74137
     0.05353    0.68295
     0.06239    0.62424
     0.07241    0.56667
     0.08357    0.51170
     0.09574    0.46045
     0.10875    0.41363
     0.12244    0.37147
     0.13665    0.33386
     0.15126    0.30047
     0.16617    0.27091
     0.18133    0.24473
     0.19669    0.22154
     0.21221    0.20099
     0.22787    0.18275
     0.24364    0.16655
     0.25952    0.15214
     0.27549    0.13933
     0.29153    0.12793
     0.30764    0.11778
     0.32382    0.10876
     0.34005    0.10073
     0.35634    0.09359
     0.37267    0.08726
     0.38904    0.08164
     0.40545    0.07666
     0.42190    0.07226
     0.43838    0.06839
     0.45488    0.06498
     0.47142    0.06200
     0.48797    0.05941
     0.50455    0.05716
     0.52115    0.05523
     0.53777    0.05360
     0.55440    0.05223
     0.57105    0.05110
     0.58771    0.05021
     0.60439    0.04954
     0.62107    0.04907
     0.63776    0.04880
     0.65446    0.04873
     0.67117    0.04885
     0.68788    0.04917
     0.70459    0.04969
     0.72131    0.05042
     0.73803    0.05137
     0.75474    0.05256
     0.77146    0.05402
     0.78817    0.05577
     0.80487    0.05784
     0.82157    0.06028
     0.83826    0.06312
     0.85494    0.06644
     0.87159    0.07027
     0.88820    0.07466
     0.90473    0.07966
     0.92111    0.08526
     0.93719    0.09135
     0.95271    0.09770
     0.96726    0.10391
     0.98036    0.10947
     0.99168    0.11413
     1.00000    0.11694
