#      x          Cp  
     1.00000    0.14644
     0.99180    0.12932
     0.98067    0.10515
     0.96782    0.08037
     0.95357    0.05590
     0.93838    0.03233
     0.92265    0.00912
     0.90663   -0.01574
     0.89046   -0.04581
     0.87420   -0.08599
     0.85789   -0.14030
     0.84156   -0.20847
     0.82521   -0.25073
     0.80884   -0.25559
     0.79246   -0.26033
     0.77607   -0.26507
     0.75967   -0.26992
     0.74326   -0.27498
     0.72685   -0.28032
     0.71043   -0.28602
     0.69401   -0.29214
     0.67759   -0.29873
     0.66117   -0.30584
     0.64475   -0.31343
     0.62833   -0.32153
     0.61192   -0.33019
     0.59551   -0.33946
     0.57911   -0.34934
     0.56271   -0.35981
     0.54633   -0.37082
     0.52996   -0.38232
     0.51360   -0.39425
     0.49726   -0.40656
     0.48094   -0.41921
     0.46464   -0.43219
     0.44836   -0.44547
     0.43213   -0.45909
     0.41594   -0.47305
     0.39984   -0.48758
     0.38386   -0.50180
     0.36796   -0.51483
     0.35212   -0.52688
     0.33634   -0.53791
     0.32061   -0.54794
     0.30494   -0.55695
     0.28933   -0.56491
     0.27379   -0.57179
     0.25833   -0.57751
     0.24295   -0.58202
     0.22767   -0.58523
     0.21251   -0.58703
     0.19747   -0.58729
     0.18258   -0.58588
     0.16788   -0.58260
     0.15338   -0.57727
     0.13916   -0.56962
     0.12527   -0.55940
     0.11181   -0.54628
     0.09891   -0.52996
     0.08670   -0.51014
     0.07535   -0.48661
     0.06501   -0.45927
     0.05576   -0.42812
     0.04762   -0.39319
     0.04054   -0.35447
     0.03441   -0.31180
     0.02912   -0.26484
     0.02453   -0.21311
     0.02055   -0.15590
     0.01707   -0.09237
     0.01404   -0.02155
     0.01138    0.05761
     0.00906    0.14613
     0.00704    0.24477
     0.00530    0.35369
     0.00381    0.47176
     0.00258    0.59594
     0.00159    0.71982
     0.00084    0.83406
     0.00034    0.92595
     0.00006    0.98381
     0.00001    0.99959
     0.00016    0.97007
     0.00056    0.89194
     0.00122    0.77275
     0.00215    0.62785
     0.00334    0.47604
     0.00480    0.33150
     0.00653    0.20277
     0.00853    0.09278
     0.01081    0.00131
     0.01339   -0.07347
     0.01631   -0.13389
     0.01960   -0.18220
     0.02333   -0.22040
     0.02758   -0.25011
     0.03242   -0.27262
     0.03799   -0.28896
     0.04441   -0.29988
     0.05182   -0.30599
     0.06037   -0.30777
     0.07015   -0.30573
     0.08116   -0.30043
     0.09331   -0.29250
     0.10646   -0.28262
     0.12040   -0.27142
     0.13494   -0.25941
     0.14996   -0.24698
     0.16532   -0.23442
     0.18095   -0.22190
     0.19680   -0.20956
     0.21282   -0.19750
     0.22899   -0.18577
     0.24528   -0.17442
     0.26168   -0.16348
     0.27817   -0.15299
     0.29474   -0.14297
     0.31139   -0.13344
     0.32810   -0.12443
     0.34486   -0.11597
     0.36167   -0.10812
     0.37851   -0.10092
     0.39536   -0.09457
     0.41215   -0.08896
     0.42890   -0.08303
     0.44566   -0.07692
     0.46244   -0.07065
     0.47923   -0.06425
     0.49605   -0.05777
     0.51289   -0.05123
     0.52976   -0.04466
     0.54664   -0.03808
     0.56354   -0.03152
     0.58046   -0.02498
     0.59740   -0.01848
     0.61435   -0.01202
     0.63131   -0.00562
     0.64828    0.00070
     0.66527    0.00694
     0.68226    0.01308
     0.69926    0.01908
     0.71626    0.02493
     0.73327    0.03060
     0.75028    0.03604
     0.76730    0.04123
     0.78431    0.04615
     0.80132    0.05078
     0.81833    0.05513
     0.83534    0.05924
     0.85233    0.06310
     0.86931    0.06667
     0.88624    0.06993
     0.90311    0.07290
     0.91982    0.07558
     0.93623    0.07798
     0.95206    0.08011
     0.96689    0.08200
     0.98019    0.08386
     0.99163    0.12047
     1.00000    0.14644
